34,37,6,40,13,8,50,25,26,30
3,4,6,9,42,15,16,49,21,36
5,38,7,42,45,15,17,19,6,47
1,3,36,37,49,10,12,13,17,25
2,5,38,39,10,14,23,6,27,26
32,38,6,7,10,43,18,27,28,31
34,36,38,13,48,22,27,28,29,30
37,6,39,7,49,50,22,23,28,30
3,37,40,42,11,46,15,24,27,30
32,5,6,8,10,45,14,13,19,26
1,2,38,41,42,46,49,21,9,28
32,3,6,12,17,50,25,26,27,30
36,37,8,41,45,14,13,49,50,21
43,14,16,20,46,24,26,29,30,31
36,38,42,43,44,45,47,19,27,28
32,5,12,45,46,47,16,19,28,29
32,4,5,40,12,42,44,16,22,29
2,7,41,42,43,46,15,48,25,27
1,2,37,8,9,42,45,46,16,19
35,36,5,39,10,43,14,47,19,31
36,8,41,11,18,49,50,21,9,4
32,33,38,49,40,12,47,48,17,29
32,3,41,12,44,16,19,20,29,31
33,37,39,43,13,48,17,19,28,30
34,38,43,12,13,47,50,23,24,29
35,7,40,12,17,50,19,21,24,28
32,2,4,39,11,47,18,22,23,36
49,40,41,10,11,17,22,26,28,29
4,6,14,19,23,36,26,27,28,30
2,4,40,44,12,14,50,19,21,29
35,5,43,12,14,11,20,26,29,30
32,33,43,44,14,15,17,47,28,30
33,3,38,7,46,15,48,19,26,31
4,9,42,44,14,15,16,49,41,30
1,27,9,12,13,47,48,17,50,15
42,33,3,36,38,39,10,50,19,29
6,39,42,14,16,49,19,27,28,29
2,6,7,10,13,16,19,24,25,26
37,8,41,42,11,12,13,45,17,30
33,5,38,40,9,10,45,24,25,26
32,33,37,40,43,44,17,18,21,28
33,3,37,10,5,17,18,23,28,31
38,9,43,15,17,20,21,23,30,31
33,2,4,5,7,10,23,24,28,37
2,35,39,47,16,50,26,28,29,30
34,4,5,8,10,11,12,45,18,2
2,11,39,40,43,45,16,17,24,31
33,34,3,41,42,11,15,27,21,47
32,33,34,37,14,49,21,23,27,31
34,4,5,7,10,11,48,50,21,37
2,11,6,7,9,39,46,16,22,28
33,39,8,11,45,14,18,19,22,25
32,1,6,38,7,12,46,18,26,31
32,33,1,37,39,41,42,16,49,31
32,6,39,45,46,48,19,27,30,31
35,5,39,8,13,14,16,21,24,37
32,35,5,40,9,42,43,13,25,30
34,3,6,41,45,49,20,22,27,28
3,36,40,9,13,46,50,20,21,30
5,38,39,8,9,44,47,18,24,29
32,35,4,38,7,9,16,21,22,31
36,5,8,9,44,18,16,50,19,28
1,2,36,9,11,48,21,4,29,30
1,2,3,4,38,9,10,44,16,36
1,3,5,39,45,46,19,21,25,30
3,4,8,48,49,35,21,40,36,26
32,34,35,6,42,43,47,11,25,27
32,40,42,44,47,18,22,26,28,10
32,38,6,39,10,44,47,48,22,27
33,3,37,7,8,46,48,17,18,24
32,36,38,41,46,17,19,24,26,30
1,2,3,37,10,44,16,25,26,31
35,5,39,43,45,16,11,21,27,31
33,37,7,9,15,16,25,27,28,5
2,35,6,40,12,13,14,26,29,31
6,8,12,44,48,49,50,19,20,25
34,5,7,41,2,20,22,9,29,37
32,2,38,40,42,11,13,16,19,22
34,40,9,11,12,15,16,20,24,26
33,4,6,46,16,50,21,22,29,31
32,34,3,41,11,45,46,14,29,30
5,10,43,44,18,48,17,50,25,28
4,5,39,8,7,45,48,40,24,25
35,39,8,42,46,47,17,22,25,31
8,42,44,45,47,48,49,22,25,31
32,34,6,10,43,44,24,25,29,31
5,39,8,41,12,48,19,20,25,28
32,1,33,41,14,47,21,23,29,31
34,3,4,41,50,15,18,19,20,23
1,5,8,40,18,19,20,24,29,30
32,33,34,5,7,41,10,11,2,28
2,3,38,16,49,21,22,25,27,31
34,3,7,18,13,50,19,24,25,29
32,3,40,42,45,49,50,24,26,30
1,2,37,42,50,18,21,22,23,28
1,3,36,38,7,42,20,23,25,30
1,38,9,42,12,49,23,26,28,30
5,7,9,13,47,22,15,28,30,31
1,38,6,7,41,15,19,24,26,28
2,37,39,41,43,45,15,48,49,28
2,4,37,8,41,10,12,46,22,42
33,36,41,43,13,46,17,28,29,31
32,16,2,37,39,8,45,48,40,21
1,35,38,8,15,19,23,26,27,30
2,37,38,7,12,48,50,25,26,29
32,37,6,7,9,11,47,26,30,5
1,33,39,42,14,17,19,24,26,31
33,36,39,11,46,15,48,21,22,25
38,40,9,45,14,16,17,8,41,28
4,6,40,44,13,15,16,49,26,28
34,36,6,12,46,16,49,21,22,28
33,34,38,8,44,13,47,48,49,50
32,33,2,42,16,19,25,26,29,31
34,50,7,11,13,45,18,2,39,31
33,2,37,39,42,12,48,22,10,30
33,38,6,44,45,46,47,48,50,21
34,35,41,11,12,17,19,23,29,31
4,7,9,10,12,13,18,19,21,36
1,2,6,7,44,48,17,50,21,23
33,36,6,7,40,10,8,50,30,31
32,4,6,41,44,13,14,47,20,25
33,4,6,10,12,45,14,50,26,31
34,3,7,8,11,16,17,50,43,28
32,35,4,38,8,15,16,18,24,25
